category_name,employee_full_name,total_sale_amount,percentage_of_category_sales,percentage_of_employee_sales
Beverages,Michael Suyama,10127.74995,0.035346588,0.129514016
Beverages,Laura Callahan,18640.79991,0.065057754,0.139839879
Beverages,Nancy Davolio,48831.99992,0.170427249,0.241570711
Beverages,Andrew Fuller,42029.39996,0.146685678,0.236453304
Beverages,Steven Buchanan,13517.50008,0.047177063,0.178879219
Beverages,Robert King,33517.00023,0.116976781,0.237211263
Beverages,Anne Dodsworth,20513.59995,0.071593963,0.247259052
Beverages,Janet Leverling,46506.55,0.162311259,0.218288037
Beverages,Margaret Peacock,52842.35011,0.184423664,0.211211034
Condiments,Steven Buchanan,2802.450024,0.024648896,0.037085265
Condiments,Anne Dodsworth,11106.89989,0.097690526,0.133876138
Condiments,Nancy Davolio,14033.85006,0.12343446,0.069425114
Condiments,Laura Callahan,15447.94998,0.135872149,0.115887702
Condiments,Robert King,9668.699989,0.085040866,0.068428693
Condiments,Andrew Fuller,16353.10001,0.143833379,0.092000945
Condiments,Janet Leverling,14109.14989,0.124096758,0.066224191
Condiments,Michael Suyama,4930.200035,0.04336348,0.063047568
Condiments,Margaret Peacock,25242.4498,0.222019485,0.100894149
Confections,Nancy Davolio,30343.54029,0.171336501,0.150108753
Confections,Janet Leverling,34859.30993,0.196835048,0.163619326
Confections,Michael Suyama,6990.299974,0.039471121,0.089392197
Confections,Anne Dodsworth,8782.93995,0.049593363,0.105864471
Confections,Margaret Peacock,29543.06011,0.166816545,0.118083701
Confections,Steven Buchanan,5489.050035,0.030994229,0.072637468
Confections,Andrew Fuller,21696.9503,0.122513046,0.122064926
Confections,Robert King,16754.44988,0.094604941,0.118576966
Confections,Laura Callahan,22639.50013,0.127835207,0.169837398
Dairy Products,Janet Leverling,34546.29986,0.137453671,0.162150149
Dairy Products,Nancy Davolio,38012.8001,0.151246268,0.188048394
Dairy Products,Andrew Fuller,25594.69987,0.101836824,0.143993285
Dairy Products,Margaret Peacock,37047.60005,0.147405906,0.14807937
Dairy Products,Steven Buchanan,23850.40003,0.094896561,0.31561612
Dairy Products,Michael Suyama,18083.09989,0.071949484,0.231247305
Dairy Products,Robert King,30581.49997,0.121678427,0.216435724
Dairy Products,Laura Callahan,21596.20002,0.085927494,0.162010751
Dairy Products,Anne Dodsworth,22017.89999,0.087605364,0.265391013
Grains/Cereals,Janet Leverling,21898.14999,0.217401426,0.102783461
Grains/Cereals,Anne Dodsworth,1305.5,0.012960801,0.015735741
Grains/Cereals,Margaret Peacock,23704.35001,0.235333099,0.094746359
Grains/Cereals,Andrew Fuller,12063.1,0.11976058,0.067865824
Grains/Cereals,Nancy Davolio,9173.949965,0.091077548,0.045383307
Grains/Cereals,Robert King,6673.49999,0.06625347,0.04723064
Grains/Cereals,Steven Buchanan,4233.249992,0.042027047,0.056019267
Grains/Cereals,Michael Suyama,9951.100022,0.098792973,0.12725501
Grains/Cereals,Laura Callahan,11723.89996,0.116393055,0.087950558
Meat/Poultry,Margaret Peacock,34179.22032,0.191814638,0.136614448
Meat/Poultry,Steven Buchanan,11869.39989,0.066611369,0.157069648
Meat/Poultry,Janet Leverling,20921.70013,0.117413104,0.098200293
Meat/Poultry,Nancy Davolio,16346.07,0.091734553,0.080863609
Meat/Poultry,Michael Suyama,9381.800104,0.052650896,0.119974783
Meat/Poultry,Robert King,24939.24006,0.139959638,0.176503523
Meat/Poultry,Andrew Fuller,32973.51035,0.185048163,0.185505753
Meat/Poultry,Laura Callahan,17657.50009,0.099094331,0.132463343
Meat/Poultry,Anne Dodsworth,9920.360029,0.055673308,0.119574274
Produce,Nancy Davolio,20454.45,0.194307229,0.101187665
Produce,Andrew Fuller,9476.800056,0.090024946,0.053315553
Produce,Michael Suyama,12323.9,0.117070997,0.157598458
Produce,Margaret Peacock,18586.74999,0.176564996,0.074291296
Produce,Steven Buchanan,7605.100033,0.072244715,0.100639493
Produce,Laura Callahan,12146.80006,0.115388635,0.091123077
Produce,Janet Leverling,12718.14995,0.120816178,0.059695247
Produce,Anne Dodsworth,404.25,0.003840176,0.004872595
Produce,Robert King,11552.40009,0.109742127,0.081760283
Seafood,Andrew Fuller,17561.69992,0.124003085,0.098800411
Seafood,Steven Buchanan,6200.599917,0.043782408,0.08205352
Seafood,Michael Suyama,6409.949964,0.045260628,0.081970661
Seafood,Margaret Peacock,29041.66985,0.205063101,0.116079643
Seafood,Laura Callahan,13448.37991,0.09495895,0.100887292
Seafood,Nancy Davolio,24947.04997,0.176151008,0.123412447
Seafood,Anne Dodsworth,8912.550011,0.062931476,0.107426716
Seafood,Janet Leverling,27491.98974,0.194120817,0.129039296
Seafood,Robert King,7609.199897,0.053728526,0.053852908
